67,66,57,55,59,50,33,40,extra_col_0
60,55,75,54,44,38,24,26,0
67,55,62,54,61,51,33,27,0
72,58,70,60,43,40,30,31,0
50,46,64,59,33,40,25,22,0
50,59,61,57,38,48,30,23,0
58,59,63,58,42,35,22,30,0
72,61,69,58,53,36,24,30,0
62,61,69,65,42,45,33,29,0
90,62,76,64,46,33,34,34,0
74,58,67,67,51,41,31,34,0
69,71,80,59,46,41,37,42,0
56,60,67,65,40,46,26,31,0
83,62,69,61,41,41,29,34,0
72,62,85,60,45,41,32,28,0
65,63,72,63,52,43,23,32,0
49,74,75,47,62,51,18,39,0
65,68,70,58,56,47,34,34,0
71,57,78,54,44,43,23,23,0
63,61,78,57,50,51,26,34,0
67,68,70,50,56,39,36,26,0
77,64,78,65,47,38,27,26,0
73,71,71,80,49,49,27,30,0
59,65,74,69,41,43,27,16,0
66,65,72,74,42,40,30,39,0
69,68,65,62,46,41,26,30,0
64,55,80,57,50,36,36,41,0
70,67,86,51,47,35,25,42,0
62,71,59,54,52,45,25,29,0
69,80,71,64,52,35,28,33,0
73,82,82,69,49,38,28,36,0
71,61,68,68,47,42,32,31,0
81,77,69,64,56,38,31,30,0
78,73,77,57,49,50,37,30,0
84,75,82,69,55,49,23,32,0
87,81,65,66,52,45,39,46,0
84,73,74,56,53,51,28,38,0
79,71,90,66,54,40,28,35,0
75,63,77,61,47,50,26,37,0
88,81,81,67,53,50,29,37,0
78,76,92,69,64,54,35,40,0
83,76,82,72,44,39,21,32,0
71,80,87,73,59,44,29,39,0
70,67,75,75,52,48,26,31,0
67,77,72,53,59,52,26,28,0
76,80,77,69,54,44,41,37,0
76,71,72,63,45,44,24,41,0
70,72,81,55,39,44,26,32,0
91,84,72,68,57,59,22,35,0
84,75,83,63,44,60,32,37,0
71,67,89,75,58,44,32,32,0
73,71,86,85,64,41,29,48,0
74,81,79,77,51,44,28,33,0
58,56,73,54,57,53,34,14,0
39,50,80,78,57,52,33,24,0
44,58,81,61,57,48,31,31,0
52,51,75,48,47,42,24,32,0
59,59,69,52,50,64,22,9,0
58,65,87,59,45,51,26,27,0
61,68,72,64,45,42,26,22,0
58,55,73,48,54,51,34,33,0
60,55,72,50,47,51,21,23,0
55,48,82,61,55,51,32,29,0
63,51,72,60,51,54,40,33,0
54,67,69,47,48,44,41,25,0
55,58,76,67,63,59,32,29,0
66,71,74,64,58,44,31,26,0
73,53,78,61,61,58,30,16,0
56,52,75,69,41,42,31,20,0
57,65,74,57,53,49,29,41,0
53,42,73,60,48,44,24,31,0
43,49,75,60,43,47,25,20,0
45,51,70,63,46,46,22,24,0
64,51,81,76,58,53,32,30,0
79,71,86,74,49,48,32,43,0
73,78,84,75,44,41,37,51,0
86,80,78,74,62,46,38,44,0
75,82,80,81,56,52,29,32,0
87,83,91,74,55,59,35,38,0
77,92,88,68,41,50,42,40,0
78,80,81,72,54,47,28,41,0
78,81,84,69,57,55,31,30,0
82,77,71,61,49,41,23,33,0
84,74,80,81,60,63,42,47,0
81,71,76,63,54,39,36,45,0
82,71,83,59,51,42,26,28,0
73,61,78,55,52,45,24,17,0
80,68,73,61,50,40,31,27,0
70,82,67,72,52,47,35,29,0
56,47,78,53,48,41,24,21,0
71,71,75,65,47,46,28,32,0
58,72,75,63,40,51,32,28,0
71,60,84,55,43,37,30,33,0
62,56,82,63,50,53,21,29,0
72,71,87,69,51,43,28,29,0
68,59,78,62,40,35,29,29,0
56,51,89,69,44,42,28,14,0
65,68,77,62,47,48,29,22,0
67,76,65,69,56,51,24,32,0
48,51,52,42,44,38,30,17,0
56,52,42,44,41,41,26,26,0
48,44,42,39,59,47,21,32,0
49,52,45,41,47,39,27,27,0
61,64,62,38,46,41,29,21,0
55,47,51,46,37,42,23,23,0
53,54,67,47,56,51,29,20,0
58,52,43,41,43,42,28,23,0
51,40,66,55,47,50,30,24,0
38,50,56,49,50,50,29,20,0
49,43,49,36,45,48,23,24,0
45,40,57,31,46,42,33,19,0
47,62,51,49,56,51,28,20,0
34,42,51,33,49,42,28,12,0
47,45,58,42,42,43,25,29,0
39,58,53,48,55,53,22,19,0
51,53,62,51,53,48,30,18,0
34,46,52,39,42,52,26,22,0
43,49,57,42,39,38,24,17,0
51,59,54,36,41,40,24,11,0
40,49,47,45,39,40,26,19,0
50,47,46,36,41,42,39,25,0
52,42,47,45,46,48,32,25,0
44,48,61,41,59,55,37,27,0
39,46,46,49,44,45,29,18,0
45,43,51,42,49,39,27,18,0
53,51,68,60,55,55,37,23,0
50,62,66,46,43,48,18,23,0
50,50,53,41,35,26,27,29,0
43,58,65,37,31,40,32,20,0
47,55,62,49,40,37,22,21,0
43,55,58,43,44,42,30,27,0
38,56,61,48,48,41,22,20,0
36,37,56,39,51,52,43,12,0
27,34,55,52,51,56,25,29,0
40,68,48,53,42,48,29,16,0
47,53,56,36,41,41,26,17,0
44,48,54,48,51,47,30,11,0
37,32,63,57,59,46,21,20,0
44,42,57,41,48,46,20,18,0
41,40,70,45,51,53,13,12,0
28,46,66,47,34,51,27,15,0
39,44,65,51,44,52,35,25,0
39,40,58,42,48,46,24,20,0
36,40,50,45,56,58,26,19,0
46,46,61,47,46,49,32,20,0
34,43,54,45,47,42,16,26,0
29,37,68,54,48,61,29,8,0
29,43,48,39,44,46,25,12,0
45,46,61,46,51,51,38,21,0
33,56,64,46,38,33,22,22,0
30,41,65,44,36,40,20,16,0
46,43,58,51,50,52,19,20,0
41,49,73,54,52,52,34,20,0
37,35,61,46,46,51,34,17,0
27,52,64,54,46,39,26,14,0
43,53,71,56,60,57,21,27,0
39,47,62,55,45,42,16,13,0
34,40,67,50,44,40,29,24,0
33,42,78,43,42,43,30,16,0
34,30,53,48,42,35,34,25,0
31,40,60,47,43,43,19,13,0
37,43,65,53,38,44,29,16,0
41,48,72,58,42,37,27,23,0
40,46,67,53,39,36,23,21,0
40,47,61,52,42,44,20,17,0
36,45,72,50,43,32,24,20,0
28,41,65,48,45,40,14,14,0
35,51,62,54,46,50,26,18,0
26,46,68,56,43,48,22,21,0
34,42,73,57,37,42,13,19,0
36,38,60,42,33,50,28,25,0
32,49,82,57,46,46,24,22,0
43,49,72,56,48,37,24,21,0
45,44,70,54,45,38,22,18,0
42,56,77,52,46,45,20,16,0
34,41,75,58,55,43,22,14,0
20,49,76,60,43,38,12,12,0
41,43,67,52,42,26,29,16,0
34,47,75,64,50,45,28,13,0
29,44,79,59,35,42,17,8,0
29,32,65,63,46,41,20,9,0
29,47,75,46,50,51,17,18,0
34,47,65,56,51,41,27,15,0
14,32,61,49,41,31,18,12,0
30,36,75,42,41,28,17,12,0
33,33,79,55,31,21,11,9,0
33,38,72,48,47,40,18,19,0
41,48,72,51,51,47,14,12,0
39,38,76,65,44,41,16,9,0
32,35,79,57,44,44,38,14,0
33,47,72,59,38,45,20,19,0
42,49,65,57,42,43,28,18,0
35,41,70,59,44,42,21,16,0
50,46,84,56,51,31,20,16,0
35,41,76,51,46,47,30,13,0
24,46,61,44,46,42,18,15,0
35,45,66,42,45,33,28,14,0
28,48,71,53,41,43,24,10,0
33,44,72,50,45,45,22,21,0
41,58,78,50,47,41,19,15,0
28,34,68,66,39,36,25,14,0
25,35,57,57,42,45,22,16,0
35,31,57,54,53,44,26,18,0
41,48,76,61,49,49,14,26,0
