Peak Index,Peak Amplitude
362,3.0262441094505568
430,0.8416859126444846
731,1.087419346030278
1036,1.0858752429816423
1341,1.1155265802370384
1645,1.1775691979069953
1949,0.9796870471400355
2241,1.1341526170272334
2537,1.0962661611436582
2837,1.1154125104509143
3128,0.9869405578639993
3416,0.9486546986427995
